tree,n_simulations,alpha_mse,alpha_rmse,alpha_mae,alpha_correlation,rho_mse,rho_rmse,rho_mae,rho_correlation
BBS20016_27,50,0.002864803748000002,0.053523861482520134,0.04223160000000001,0.9951396819313277,0.0003917215880000001,0.01979195765961518,0.014000799999999997,0.9974317300837403
BBS20017_45,26,0.0021718416076923113,0.04660302144381104,0.03206461538461541,0.9960404975540367,0.0003423208999999997,0.018501916116986362,0.015205384615384608,0.9976000977049492
BBS20018_53,9,0.006462150111111118,0.08038749971924192,0.06251111111111113,0.9931809118183359,0.00015305082222222228,0.012371371072852931,0.009066666666666674,0.9990727241526729
BBS20019_24,50,0.0023055949439999986,0.04801661112573438,0.03421079999999999,0.9965921756740085,0.00040967498799999996,0.020240429540896606,0.0149888,0.9967275622081391
BBS20020_16,50,0.0017409899840000016,0.04172517206675128,0.033226800000000015,0.9956202187538795,0.0005374961260000001,0.02318396268975604,0.017761800000000005,0.99636579790582
BBS20021_53,10,0.0013463617999999993,0.036692803109056676,0.021247999999999996,0.9979557045837448,6.91713300000002e-05,0.00831693032314208,0.0075670000000000156,0.999382848485212
BBS20022_58,8,0.00022975593750000078,0.015157702250011404,0.013628750000000026,0.9996863420191401,0.008416598862500001,0.09174202342710783,0.046906250000000003,0.8672579161682468
BBS20023_31,50,0.0019217556340000016,0.04383783336343166,0.029216600000000006,0.9960546893111074,0.0004156281500000001,0.020386960293285513,0.015439800000000009,0.99775657183009
BBS20024_30,40,0.0028012730500000024,0.05292705404611145,0.03851350000000001,0.9957374867138042,0.0003948291224999999,0.01987030755927044,0.01393425,0.9974185389213454
BBS20025_81,3,0.008404179,0.09167430937836402,0.06534666666666665,0.9269705926051879,0.032729287266666664,0.18091237455372328,0.14555333333333334,0.8627490246454069
BBS20026_32,50,0.0018952733819999992,0.04353473764707902,0.031006999999999993,0.9976131208953737,0.00030800279400000017,0.017550008376066382,0.013627,0.9969582141667661
BBS20027_29,50,0.002833165559999999,0.05322748876285635,0.035978399999999994,0.9954001151852548,0.00029789880999999974,0.017259745363127455,0.013841,0.9982109400423861
BBS20028_54,9,0.0011826253444444438,0.034389320209106254,0.027249999999999983,0.9985223445097335,0.0004888139666666666,0.02210913762828995,0.017683333333333336,0.9966467870788274
BBS20029_29,50,0.002766156514000001,0.05259426312821581,0.0376418,0.9948823669133826,0.0004096939280000001,0.020240897410935123,0.015898400000000007,0.9971158260993279
BBS20030_47,4,0.005599644724999995,0.07483077391688525,0.050662499999999944,0.9961777752264053,0.00028408232499999947,0.016854741914369364,0.013562499999999991,0.9959023315937575
BBS20031_60,7,0.005896873228571432,0.07679110123296469,0.04548000000000001,0.9929672653612466,0.0007067300428571433,0.026584394724295368,0.01741285714285713,0.996527074453593
BBS20032_61,6,0.0005624327500000013,0.023715664654400923,0.01989166666666668,0.999227762636934,0.00035860910000000016,0.01893697705548592,0.015026666666666674,0.9985576407389155
BBS20033_48,16,0.0031013137937499977,0.05568944059469441,0.042243124999999986,0.9947269261677776,0.0003469795625000001,0.018627387430877152,0.014436250000000008,0.998949997356715
BBS20034_59,4,0.0032591683500000105,0.05708912637271664,0.04342500000000005,0.9903730637955027,4.3719224999999487e-05,0.006612051497077097,0.006282499999999955,0.9996133482277121
BBS20035_35,50,0.002057373208000001,0.04535827606953334,0.03420280000000002,0.9968353317536419,0.0006889307699999999,0.026247490737211433,0.020349399999999997,0.9957658832886052
BBS20036_91,1,0.00018496000000000002,0.013600000000000001,0.013600000000000001,,0.00027192010000000013,0.016490000000000005,0.016490000000000005,
BBS20037_65,6,0.0002475556833333329,0.015733902355529378,0.013488333333333343,0.9998097691632446,0.0003346797666666667,0.01829425501808332,0.017906666666666664,0.9984769467666159
BBS20038_42,29,0.004051874203448276,0.0636543337365829,0.040516206896551714,0.9936949617189799,0.0009096246413793109,0.03015998410774301,0.022151724137931046,0.9928564718975004
BBS20039_91,1,0.0007700624999999968,0.02774999999999994,0.02774999999999994,,0.00017134809999999975,0.01308999999999999,0.01308999999999999,
BBS20040_87,2,0.00010616964999999975,0.010303865779405308,0.008094999999999991,1.0,0.00019541920000000005,0.013979241753399934,0.012960000000000003,1.0
BBS20041_48,14,0.001947545828571428,0.04413100756351964,0.02558571428571426,0.997011909481374,0.0006114054214285714,0.024726613626385868,0.020352142857142853,0.9958639736190946
BBS30002_31,50,0.001708472049999999,0.04133366727015641,0.029742200000000003,0.9968861688517555,0.00039549607999999985,0.01988708324516192,0.0149908,0.9970904581402955
BBS30004_50,17,0.0027736906705882343,0.05266583969318475,0.035890588235294105,0.9959152688542227,0.0004029644470588236,0.02007397437128043,0.015945882352941188,0.9976284731698315
BBS30006_18,50,0.0029715491040000017,0.05451191708241421,0.03674360000000002,0.9956256326117987,0.00023443117200000016,0.01531114535232424,0.011489600000000011,0.9984360517028472
BBS30007_24,50,0.001906084480000001,0.04365872742075748,0.030745200000000014,0.9970554618217021,0.0005160933160000003,0.0227176872942648,0.016574000000000005,0.9967358803736931
BBS30008_36,30,0.0036859570066666678,0.06071208287208295,0.04268533333333334,0.9939789433510058,0.00016960934333333345,0.01302341519469196,0.009961000000000003,0.9986554500995853
BBS30009_38,28,0.0042058944,0.06485286732288711,0.04688714285714285,0.9931757124008298,0.0003765920357142861,0.019405979380445762,0.015115000000000019,0.9983422462531606
BBS30010_50,16,0.001286592568750001,0.03586910326102398,0.02444062500000002,0.9984214479135299,0.00025170067499999984,0.015865077213805166,0.012917499999999995,0.9985132775974982
BBS30011_65,4,0.0040249995499999965,0.06344288415575065,0.04387499999999997,0.9982387127580598,0.005067805825,0.07118852312697602,0.04816249999999998,0.9885482256450363
BBS30012_65,6,0.004921246800000006,0.07015159869881803,0.04935000000000004,0.9956620429934316,0.002519947716666666,0.0501990808348785,0.02535833333333332,0.9844138854026342
BBS30013_86,3,0.0026903049666666718,0.05186814982883688,0.044916666666666695,0.9988414082008414,0.0041914011000000004,0.0647410310390559,0.03906333333333334,0.9796063579530959
BBS30014_44,26,0.0023858714538461533,0.048845383137469126,0.03406923076923077,0.9970175914825075,0.0005553806576923079,0.023566515603548777,0.018140384615384617,0.9953194042278223
BBS30015_21,50,0.006474183795999997,0.08046231289243429,0.049178,0.9906931671247238,0.0006753873959999998,0.025988216483629648,0.0191572,0.9944790169541556
BBS30016_37,38,0.005681367055263161,0.07537484365000806,0.0486213157894737,0.9947316576838443,0.00031624374999999984,0.01778324351742392,0.013043421052631572,0.9979681472233208
